UserID,FirstName,LastName,Community,Email
43555da1-2d0a-44ad-8a26-89d1233c7653,Alice,Davis,Strand,alice.davis@lumkani.com
64c82c54-364d-44a1-8658-9035f138bbb6,David,Williams,Soweto,david.williams@lumkani.com
da1ee87d-6b76-4798-b2a0-fac3c186a202,Hannah,Jones,Khayelitsha,hannah.jones@lumkani.com
960b7799-0478-4b1b-b1b4-5c1e9390a93e,Bob,Miller,Soweto,bob.miller@lumkani.com
bd31484d-3af7-4360-978b-520c97141ea0,Hannah,Jones,Khayelitsha,hannah.jones@lumkani.com
2d654aa6-c8bc-4d8b-a80c-0876f6df0ee5,Grace,Taylor,Khayelitsha,grace.taylor@lumkani.com
625d64db-63dd-4f32-a9dc-60ae3c5611a2,Grace,Wilson,Philippi,grace.wilson@lumkani.com
36c42c66-e07e-42cd-a201-29fc35a4bafe,Eve,Lee,Khayelitsha,eve.lee@lumkani.com
06c8893b-642e-4b23-8ed2-0ddd33c39f06,Frank,Taylor,Soweto,frank.taylor@lumkani.com
47ea8da6-7785-4a5b-a76e-d367c93c5cc6,John,Brown,Khayelitsha,john.brown@lumkani.com
