CustomerID,FirstName,LastName,Community,PhoneNumber
e245aeb0-8a10-412e-8adc-8b0ae7f38c14,Charlie,Wilson,Gugulethu,0557589769
71a21308-ddac-49b7-8d19-2f734df4e139,Grace,Davis,Philippi,0300469018
1e3e98e1-4ea9-4aed-86a8-df82d7ddef0c,Jane,Taylor,Philippi,0132665408
27fd261c-b2a0-430e-a15c-60ee94086f72,Grace,Wilson,Khayelitsha,0742561206
98771076-5da3-471f-b3ca-fcbd22bbe4fd,John,Brown,Soweto,0749132435
79d1b5a4-3b88-4630-8892-fc38db18d437,Jane,Davis,Gugulethu,0407126663
c20d243c-eb13-4d09-b959-94b707df07cb,Jane,Taylor,Philippi,0126293309
ddc23e96-efd8-4891-8b91-ff1857eb1003,John,Brown,Gugulethu,+27966985122
2df9eefb-ec99-47d0-92a6-57c77a4793a6,Hannah,Lee,Philippi,0564393801
9e0d10da-0933-4d29-adba-98e47fd8bda4,Frank,Miller,Gugulethu,0186645958
4bba0d9b-7be1-4d30-a42d-02ae91531c03,Hannah,Brown,Soweto,0340261970
6361a74d-db59-45ab-8afe-5f78b00c66a0,David,Taylor,Gugulethu,+27902693346
b5278375-775e-4fc6-804b-f829d7724c58,Hannah,Lee,Khayelitsha,0487222550
b06e97cf-64d9-4ba9-b577-959a6116c2cf,Grace,Brown,Philippi,0659677017
9e01d5bb-d72b-4a6b-a03a-2b311381ea37,Alice,Brown,Strand,0720722641
30aa146c-819c-4583-9580-b3b40b3f10ac,Grace,Moore,Khayelitsha,+27996701149
eec67246-813e-46f6-bd25-161d679ad6d3,Grace,Williams,Strand,0538007544
1de6ea78-44f5-4862-8876-51605093d1ac,Jane,Davis,Soweto,0367434609
db588480-fd13-44f8-a84f-f19a3ec3f8af,Grace,Lee,Soweto,0451217505
f11c4b11-fef4-41ec-92a7-3507f7897932,Charlie,Lee,Philippi,+27528967503
5efa1f8a-ad6b-43d7-9ae5-5919e77aca0a,Alice,Wilson,Gugulethu,0163940487
1cf7ec36-2843-4fff-afac-9dc23ebbe87a,Frank,Miller,Gugulethu,+27229405586
56513f91-ab7a-45e5-9dea-29a59d695299,John,Miller,Soweto,0283123378
3f84b6ea-67ed-43c5-995d-278750903b80,Hannah,Wilson,Strand,0167636674
ac29cb53-699c-4aa4-a2a2-4bb8f983eaa2,Frank,Smith,Gugulethu,0586209333
b6a9558a-a762-4df1-b895-f6eaf55e84b3,Charlie,Brown,Philippi,0774733776
26522940-b5fa-4bb5-94dc-07a1dab1a042,David,Jones,Soweto,+27505954095
e8525080-dee7-4957-8b0c-06bca398b96d,John,Jones,Soweto,0533881747
dbc59682-d5d8-4ec7-8e3b-9120f0e8545a,Frank,Williams,Soweto,+27666505960
8552da9d-6138-4068-a054-599100bf4025,John,Jones,Khayelitsha,0442030730
faa6a1dd-eef5-481b-ba28-436259835626,Alice,Taylor,Philippi,0625583258
5d01e57d-3f7d-4b09-8f45-e6f3429f6dc1,Frank,Lee,Khayelitsha,0770701257
d8395962-2916-45f8-bfc7-adcd24dfad48,John,Davis,Soweto,0196656850
ff1116f6-222e-4b90-85c4-b8cdf74844e5,Eve,Brown,Strand,+27488250566
e095ff77-8c1b-40e7-8539-3d9632d728bb,Bob,Smith,Gugulethu,+27334048043
68e54bdd-fa66-4d28-922e-1299039a83c2,Charlie,Lee,Gugulethu,0985783964
b69a3623-4c16-4ed6-ac1a-34446d285580,Frank,Wilson,Gugulethu,0354692764
72619560-a714-44eb-b29e-aac48a108ddb,John,Davis,Khayelitsha,+27242483169
b193495a-24bb-47c6-ae73-150e0f9a028c,John,Moore,Strand,0828555282
adea631a-ba15-4557-bb51-a55cb466189a,John,Taylor,Khayelitsha,+27480497483
acf84ddc-bf8c-4a5e-9b9d-4108a04405da,Charlie,Jones,Gugulethu,+27111501334
5fa16a28-6d65-4195-abcf-d71f8e6d99f6,Hannah,Williams,Gugulethu,+27535392942
e7cc373f-bc20-409b-b485-5942f4c06147,Alice,Smith,Khayelitsha,0344347218
2741b0b4-cfb1-4425-9266-02370e1a41b6,Grace,Williams,Soweto,0131806479
32521f8c-abcc-4c36-91a4-e287da60273c,Hannah,Williams,Strand,0350107112
b5295c92-8e8b-4044-b927-51fdc78c9aa0,Frank,Moore,Soweto,0653501752
62489902-044c-44b2-98b4-1470721971b3,Bob,Williams,Philippi,0471249453
4dbcc2bc-e844-4518-a19c-16a85af8e5e5,Eve,Smith,Philippi,0266938459
c5f88a0f-06ff-4c22-9b49-66fec85e8efb,Jane,Williams,Gugulethu,+27789804429
e238bc51-117e-4e0d-bd2d-ea3abdbaa6cc,Charlie,Davis,Strand,+27621377919
9414969f-a1f6-40e3-984d-9df6385c9024,Grace,Williams,Soweto,0940401346
f6e60800-fc83-400d-83fd-4baf8d1f0c36,David,Davis,Strand,0743752063
1f320035-1c45-40c1-9261-8efd5185dfca,Frank,Williams,Philippi,0288978288
f43c114e-ba79-467d-ab1b-1f9468329f68,Hannah,Taylor,Philippi,+27811536456
ce360cc1-7146-4b98-9bfb-ffa85e6ce85e,John,Lee,Khayelitsha,0237936663
1d9e2e5d-51ef-4cb0-bbe3-a318cc18a455,Eve,Miller,Khayelitsha,0110792550
cf7ca1a2-7f02-40d7-8d4b-2bc3c2402e8d,Jane,Lee,Gugulethu,0850618795
26c4516f-264d-4572-b32a-b79900d2507f,Eve,Moore,Strand,0644391309
19ce0beb-75f4-46be-bd77-732aa937e509,Frank,Taylor,Khayelitsha,+27201702785
914d2b71-98f0-4e06-ab76-98ef5c074acf,David,Davis,Strand,0332235789
7a3299ef-2600-40ed-a4e1-10c0b96a020d,John,Brown,Khayelitsha,0922094357
61dd4011-be1a-4590-8168-818811fe846b,Hannah,Williams,Gugulethu,0150708361
55f94191-bd59-4dd7-a179-074a2c26d8e2,Bob,Taylor,Philippi,+27294659541
4960a7d6-3a27-40b5-8dd6-ef06189f744d,Eve,Miller,Strand,0564443518
0b8d8fde-7e9b-4a04-a8f4-fe4c19d2b98c,Charlie,Miller,Strand,+27785327128
70dba3ac-999a-4e68-a22e-fcbcf3b9874b,Eve,Wilson,Khayelitsha,+27490790252
a75339c5-cd02-467d-9350-3278c185290d,John,Taylor,Strand,0972108554
631015f9-4855-4353-acc3-190b80264d9e,Frank,Lee,Philippi,0774087785
abf38f5c-3eab-4a40-8b5d-75bd1198fe6a,Frank,Wilson,Philippi,+27354242225
af89154f-66fa-4cc8-911a-957cb545bd0e,David,Jones,Khayelitsha,+27792116370
39b464e3-41cf-4021-89ea-e3dc2685d7b4,David,Taylor,Khayelitsha,0741835474
a2fde86c-511a-48d0-bdee-e0bee5a6617a,Eve,Davis,Soweto,+27131567838
e937d334-d12f-4155-bca8-e09a10a68f00,Alice,Moore,Khayelitsha,0413681176
fdee3f75-2b4f-45f5-951f-cca5622f09d9,Frank,Brown,Philippi,+27927843309
3a966c37-988a-4293-a1b4-d08de7f0fe18,Frank,Miller,Gugulethu,+27492453314
caf2e770-a0a7-49ea-adea-c4c4e8ab62eb,Charlie,Wilson,Khayelitsha,0906291596
ddd13541-8d68-450b-91ef-54add321cbc2,Hannah,Davis,Strand,0491302105
14af282f-7fbf-4dc1-9679-ece46ba6db92,Jane,Davis,Khayelitsha,0752980453
d5626244-d551-412c-9864-22a71968cf28,Hannah,Miller,Khayelitsha,+27877162113
dbc40b08-55ad-485c-a331-96d3ce6ac2bd,Eve,Miller,Strand,0247970864
61f568fb-8658-41f2-9922-80ba229d38b9,John,Taylor,Khayelitsha,0571481173
87ac8a8b-3ee7-4cf5-88cf-0bc4b8c38b70,Charlie,Taylor,Soweto,0684533985
bad6caab-28bf-4908-a585-480907da024d,Bob,Jones,Philippi,+27686208135
17d73bc6-38c3-487a-a0d0-132672796d9f,Bob,Williams,Khayelitsha,0148001661
